[399515000] ID:0 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000003b5011b000006f907e207aa000000e8018b0000002f05ca0200
[399525000] ID:1 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000003c40000000006d607200734000000d701720000013106cd01d7
[399535000] ID:2 | Stage:1 | Loc:0 | Lic:0 | Data:00000000000003a000410000070406a5077f0000017601350000010604a601ce
[399545000] ID:3 | Stage:1 | Loc:0 | Lic:0 | Data:000000000000036b02000000074a05e607f30000027300d1000000b0012b01d2
[399555000] ID:4 | Stage:1 | Loc:0 | Lic:0 | Data:00000000005e038b049700000773062808c701a7032900fd00000000000001dd
[399565000] ID:5 | Stage:1 | Loc:0 | Lic:0 | Data:00000000011a041106200000075d06c9098f0244037501b400000000000001ee
[399575000] ID:6 | Stage:1 | Loc:0 | Lic:0 | Data:00000000010c04a906390000072406ee09e901c6039a024f0000000000000208
[399585000] ID:7 | Stage:1 | Loc:0 | Lic:0 | Data:00000000013a04e606970000071407690a420127038d02c700000000000001fd
[399595000] ID:8 | Stage:1 | Loc:0 | Lic:0 | Data:00000000016d053e06f0000006f707c90a9000ac038d033b00000000000001f6
[399605000] ID:9 | Stage:1 | Loc:0 | Lic:0 | Data:00000000013b058d06dc000006dc08020ade0000039403bc0000000000000209
[399615000] ID:10 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000c705d00656000006be07e70af7000003a1040c0000000000500226
[399625000] ID:11 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000d2061b064b0000069c08040b080000039a044a0000000000b20231
[399635000] ID:12 | Stage:1 | Loc:0 | Lic:0 | Data:000000000117062906a000000698081e0b100000039c044a00000000008201f3
[399645000] ID:13 | Stage:1 | Loc:0 | Lic:0 | Data:00000000018b05b4075e000006d208360b09001f03a103e4000000000000016e
[399655000] ID:14 | Stage:1 | Loc:0 | Lic:0 | Data:0000002101fb04ee08010000072a080b0ac401d503a703120000000000000142
[399665000] ID:15 | Stage:1 | Loc:0 | Lic:0 | Data:00000000026e045808940000076f07ff0a93031c03a4027200000000000001b0
[399675000] ID:16 | Stage:1 | Loc:0 | Lic:0 | Data:0000000002a4044a08c60000077508070a86035b039f025300000000000001f6
[399685000] ID:17 | Stage:1 | Loc:0 | Lic:0 | Data:00000000026b044008720000077507d10a6a035b03a4023b000000000000022c
[399695000] ID:18 | Stage:1 | Loc:0 | Lic:0 | Data:00000000021603e707f200000791073a0a0a041503b801b00000000000000242
[399705000] ID:19 | Stage:1 | Loc:0 | Lic:0 | Data:000000000216035607fb000007cc06b809b0058403d300f30000000000000215
[399715000] ID:20 | Stage:1 | Loc:0 | Lic:0 | Data:00000000024302e8084e000007fc0668097d06e003f3006400000000000001f3
[399725000] ID:21 | Stage:1 | Loc:0 | Lic:0 | Data:00000000025d02cc087b0000080a06590975075003fe003f00000000000001de
[399735000] ID:22 | Stage:1 | Loc:0 | Lic:0 | Data:00000000024702b1084e00000811064a095c073c03f0002400000000000001c4
[399745000] ID:23 | Stage:1 | Loc:0 | Lic:0 | Data:0000000b024a02b308240000080906380936072003e1000900000000000001ad
[399755000] ID:24 | Stage:1 | Loc:0 | Lic:0 | Data:001d000202b0022008920000084a06e6093d06a603800000000000000000018d
[399765000] ID:25 | Stage:1 | Loc:0 | Lic:0 | Data:011700000223015607330000087d0649085706670325000000000000000001b4
[399775000] ID:26 | Stage:1 | Loc:0 | Lic:0 | Data:03630000010e0000047d006708f004ba065706b30287000000000000000001ae
[399785000] ID:27 | Stage:1 | Loc:0 | Lic:0 | Data:051a000000fb0000036501d3095f04240503072201ed000000000000000001ad
[399795000] ID:28 | Stage:1 | Loc:0 | Lic:0 | Data:0590000000f40000031b02430982040804aa072f01bd00000000000000000196
[399805000] ID:29 | Stage:1 | Loc:0 | Lic:0 | Data:05a2000700d3000002eb024c098303e70496073201bf00000000000000000175
[399815000] ID:30 | Stage:1 | Loc:0 | Lic:0 | Data:05a7001300b9000002e20268099103e4049c073c01c100000000000000000153
[399825000] ID:31 | Stage:1 | Loc:0 | Lic:0 | Data:0598003b00c2000002f0024f098603e404a3073f01c900000000000000000118
[399835000] ID:32 | Stage:1 | Loc:0 | Lic:0 | Data:05320057015c000003ac01d10958045204ea071b01ce0000000000000000010e
[399845000] ID:33 | Stage:1 | Loc:0 | Lic:0 | Data:05210046009d000002e10193093a03a404da0745021800000000000000000126
[399855000] ID:34 | Stage:1 | Loc:0 | Lic:0 | Data:049b003400f6000003a001590934043c055a06fb021e00000000000000000136
[399865000] ID:35 | Stage:1 | Loc:0 | Lic:0 | Data:035a002f011f00000485006008eb04d206550682027800000000000000000136
[399875000] ID:36 | Stage:1 | Loc:0 | Lic:0 | Data:029a0027016000360524000008bc055306e50605029500000000000000000143
[399885000] ID:37 | Stage:1 | Loc:0 | Lic:0 | Data:0220002401ef00a605df0000089705e1073e05a902900000000000000000015b
[399895000] ID:38 | Stage:1 | Loc:0 | Lic:0 | Data:0329002f0072000003b9001f08c90469064f0616029a00000000000000000129
[399905000] ID:39 | Stage:1 | Loc:0 | Lic:0 | Data:042f003b00b30000039200fb0915043005a206ce024f00000000000000000121
[399915000] ID:40 | Stage:1 | Loc:0 | Lic:0 | Data:04b8004f00b800000372014f093003d30549079102510000000000000000010b
[399925000] ID:41 | Stage:1 | Loc:0 | Lic:0 | Data:048d004901500000041f014b093404710577073a02210000000000000000011a
[399935000] ID:42 | Stage:1 | Loc:0 | Lic:0 | Data:055c004a00b5000002e001cb094e03a804b4075901fc00000000000000000128
[399945000] ID:43 | Stage:1 | Loc:0 | Lic:0 | Data:0571004700e4000002f701f1095b03df04a3071a01d20000000000000000012c
[399955000] ID:44 | Stage:1 | Loc:0 | Lic:0 | Data:04e9006601190000038301a509490457051606bc01de000000000000000000ec
[399965000] ID:45 | Stage:1 | Loc:0 | Lic:0 | Data:04d6007700fb000003940178093c0415052f0747021c000000000000000000d9
[399975000] ID:46 | Stage:1 | Loc:0 | Lic:0 | Data:04ca008f0107000003a50143092603f5053207820237000000000000000000ca
[399985000] ID:47 | Stage:1 | Loc:0 | Lic:0 | Data:04e4008d00ec0000036d015f092d03e70516075e0227000000000000000000c4
[399995000] ID:48 | Stage:1 | Loc:0 | Lic:0 | Data:0518007400ef000003520196094003e304f10761020e000000000000000000e4
[400005000] ID:49 | Stage:1 | Loc:0 | Lic:0 | Data:0594005500dc000002f3022c097403e20497073201c7000000000000000000f7
[400015000] ID:50 | Stage:1 | Loc:0 | Lic:0 | Data:05c9005900d3000002d30281099403f50476070c019f000000000000000000d8
[400025000] ID:51 | Stage:1 | Loc:0 | Lic:0 | Data:04e2005a00c30000036201c6095f042b053207040203000000000000000000cb
[400035000] ID:52 | Stage:1 | Loc:0 | Lic:0 | Data:044e003d00d3000003be014d0939046c05a106c0022c000000000000000000fa
[400045000] ID:53 | Stage:1 | Loc:0 | Lic:0 | Data:04a9003f007a000003530191095103f5056507490242000000000000000000ee
[400055000] ID:54 | Stage:1 | Loc:0 | Lic:0 | Data:04b40070007500000339015a093503b0054b078d025e000000000000000000c1
[400065000] ID:55 | Stage:1 | Loc:0 | Lic:0 | Data:044f008800fd000003d200e00905041d0587073a0259000000000000000000c2
