[1229305000] ID:0 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000fe45ffb700000000000000000000000000000000033aff1e
[1229315000] ID:1 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff6c00000000ff300037000000000000019affc800cb0000000002a9fd0f
[1229325000] ID:2 | Stg:6 | Loc:0 | Lic:0 | Data:0000014900000000ffa401ef000000000000fc69ffed00cf0000000000cffbe3
[1229335000] ID:3 | Stg:6 | Loc:0 | Lic:0 | Data:0000003a00000000ffca015a00000000ffc20111002a0190000000cc00c3fa4b
[1229345000] ID:4 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffd800000000004800c700000000ff8fff1b000501920000ff8dfff1fa23
[1229355000] ID:5 | Stg:6 | Loc:0 | Lic:0 | Data:0000003900000000ffd3020200000000ffaa0044ffd501800000ff1d0000fa51
[1229365000] ID:6 | Stg:6 | Loc:0 | Lic:0 | Data:0000ffc700000000ff9e011000000000ffdd0176fff1017f0000fef20000fa94
[1229375000] ID:7 | Stg:6 | Loc:0 | Lic:0 | Data:0000000300000000ffe901860000000000000073ffb501400000ff190000fb1d
[1229385000] ID:8 | Stg:6 | Loc:0 | Lic:0 | Data:0000002900000000001e01b000000000000000b6ffe001400000febf0000fb46
[1229395000] ID:9 | Stg:6 | Loc:0 | Lic:0 | Data:0000005500000000ffa1010c000000000000ffd8005301d80000ffaf0000fc3e
[1229405000] ID:10 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff7a00000000ff2f01a200000000000001fd000b01db0000fdfc0000fccd
[1229415000] ID:11 | Stg:6 | Loc:0 | Lic:0 | Data:0142001e00000000ffcfff31000000000000ff37000001bd0000fcc10002fe73
[1229425000] ID:12 | Stg:6 | Loc:0 | Lic:0 | Data:fffdffcb000000000041017500000000000002c7000001ba0000fd84000fff29
[1229435000] ID:13 | Stg:6 | Loc:0 | Lic:0 | Data:00c0ffec00000000ff6b00000000000000000000000001340000fc1d00530000
[1229445000] ID:14 | Stg:6 | Loc:0 | Lic:0 | Data:ffe7002b00000000feb700000000000000000000000001330000fed101a40000
[1229455000] ID:15 | Stg:6 | Loc:0 | Lic:0 | Data:fdc0001600000000ffb300000000000000000000000000640000000001450000
[1229485000] ID:16 | Stg:6 | Loc:0 | Lic:0 | Data:000000fe00000000fdcbffeb000000000000fe980000ffff00000000019bfed2
[1229495000] ID:17 | Stg:6 | Loc:0 | Lic:0 | Data:0000003000000000ff01fffc00000000000001eaffc0013e0000ffe3006bfe24
[1229505000] ID:18 | Stg:6 | Loc:0 | Lic:0 | Data:0000018e00000000ffe202de000000000000fecfffe901c80000ffcaff1efda9
[1229515000] ID:19 | Stg:6 | Loc:0 | Lic:0 | Data:000001c000000000ffa1019c00000000fffa0132002d024d000000550024fd4d
[1229525000] ID:20 | Stg:6 | Loc:0 | Lic:0 | Data:0000013e000000000089010100000000fff6002c000402830000ff63ff9afd33
[1229535000] ID:21 | Stg:6 | Loc:0 | Lic:0 | Data:0000016900000000ffea023c00000000fff8007fffce02280000ff0e0005fd3e
[1229545000] ID:22 | Stg:6 | Loc:0 | Lic:0 | Data:000000d300000000ff88019f00000000fffb0146ffee01ff0000fee6000cfd6a
[1229555000] ID:23 | Stg:6 | Loc:0 | Lic:0 | Data:000000eb00000000ffd701e000000000000000b6ffa701cd0000fef90010fda4
[1229565000] ID:24 | Stg:6 | Loc:0 | Lic:0 | Data:0000011d00000000003a01f500000000000000d2ffd601bb0000feaf0008fdbf
[1229575000] ID:25 | Stg:6 | Loc:0 | Lic:0 | Data:0000013300000000ffd101530000000000000018005802af0000ff530008fe1d
[1229585000] ID:26 | Stg:6 | Loc:0 | Lic:0 | Data:0000001200000000ff0001d200000000000001e00009031f0000fde80004fe7b
[1229595000] ID:27 | Stg:6 | Loc:0 | Lic:0 | Data:0040005800000000ffaaff63000000000000ff7c000002810000fcca0003ff24
[1229605000] ID:28 | Stg:6 | Loc:0 | Lic:0 | Data:0001ffea00000000007c010c00000000000002620000022a0000fd690008ff9c
[1229615000] ID:29 | Stg:6 | Loc:0 | Lic:0 | Data:0027fff600000000ffb7002e0000000000000073000001c60000fc7dffc40000
[1229625000] ID:30 | Stg:6 | Loc:0 | Lic:0 | Data:fffe004900000000fe6cffd6000000000000fffd0000019e0000fec701080000
[1229635000] ID:31 | Stg:6 | Loc:0 | Lic:0 | Data:ff90004200000000ff78ffe3000000000000fff00000008b0000000000a40000
[1229665000] ID:32 | Stg:6 | Loc:0 | Lic:0 | Data:0000023200000000fd7e000e000000000000fa390000003a00000000ff0afebd
[1229675000] ID:33 | Stg:6 | Loc:0 | Lic:0 | Data:0000016a00000000ff55fece00000000000000a9ffee00ac000001c3febafeac
[1229685000] ID:34 | Stg:6 | Loc:0 | Lic:0 | Data:0000ff770000000000da032e00000000000001f6fff5011f0000ff04fea0fed8
[1229695000] ID:35 | Stg:6 | Loc:0 | Lic:0 | Data:000001c000000000ffcd0100000000000008009c000601110000fc25ffbcff3b
[1229705000] ID:36 | Stg:6 | Loc:0 | Lic:0 | Data:0000017f00000000003c006400000000001301a8fffe013d0000fe8affcbff31
[1229715000] ID:37 | Stg:6 | Loc:0 | Lic:0 | Data:0000015f000000000014010000000000001100bbfff201070000ffc40023ff32
[1229725000] ID:38 | Stg:6 | Loc:0 | Lic:0 | Data:0000011400000000ffe500ea00000000000700adfff700e40000ff470037ff43
[1229735000] ID:39 | Stg:6 | Loc:0 | Lic:0 | Data:0000010500000000ffea00fc00000000000000cfffe100d80000fef90031ff50
[1229745000] ID:40 | Stg:6 | Loc:0 | Lic:0 | Data:0000011e00000000001900f10000000000000092ffea00c90000ff07001bff5b
[1229755000] ID:41 | Stg:6 | Loc:0 | Lic:0 | Data:0000010700000000002c0094000000000000003a000b01250000ff2d0019ff6f
[1229765000] ID:42 | Stg:6 | Loc:0 | Lic:0 | Data:0000007700000000ffc800ea0000000000000188fffd01840000fea7000cff94
[1229775000] ID:43 | Stg:6 | Loc:0 | Lic:0 | Data:ffab004500000000ffd2ffc4000000000000ffc00000015e0000fe8b0005ffb9
[1229785000] ID:44 | Stg:6 | Loc:0 | Lic:0 | Data:0001000e000000000036006d00000000000001b1000001180000fe3dfffaffe7
[1229795000] ID:45 | Stg:6 | Loc:0 | Lic:0 | Data:ffd1000800000000004500bd00000000000000cc000000eb0000fd6fff9e0000
[1229805000] ID:46 | Stg:6 | Loc:0 | Lic:0 | Data:000a003100000000ffa8ffed000000000000ff18000000c60000ff0c00aa0000
[1229815000] ID:47 | Stg:6 | Loc:0 | Lic:0 | Data:009d003400000000ffb7ffb5000000000000fef30000005700000000006e0000
[1229845000] ID:48 | Stg:6 | Loc:0 | Lic:0 | Data:000003fd00000000fd7300b8000000000000fb720000007b000000000025fe9f
