[2427425000] ID:0 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000003af011d000006fc07e607af000000e8018d0000003205ca0201
[2427435000] ID:1 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000003be0000000006da07210737000000d701730000013606ce01d8
[2427445000] ID:2 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000039e00440000070506a807810000017601370000010704a701ce
[2427455000] ID:3 | Stg:1 | Loc:0 | Lic:0 | Data:000000000000036701fe0000074c05e607f50000027400d2000000b5012c01d0
[2427465000] ID:4 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000570384049700000778062b08cd01a5032900ff00000000000001dd
[2427475000] ID:5 | Stg:1 | Loc:0 | Lic:0 | Data:000000000115040e061e0000075f06c809920243037601b500000000000001ef
[2427485000] ID:6 | Stg:1 | Loc:0 | Lic:0 | Data:00000000010804a306390000072706f109ed01c2039902500000000000000209
[2427495000] ID:7 | Stg:1 | Loc:0 | Lic:0 | Data:00000000013804e4069700000715076b0a450125038d02c900000000000001fd
[2427505000] ID:8 | Stg:1 | Loc:0 | Lic:0 | Data:000000000169053606f3000006fb07ce0a9500ab038d033c00000000000001f5
[2427515000] ID:9 | Stg:1 | Loc:0 | Lic:0 | Data:000000000137058606de000006e008060ae20000039403bd0000000000000208
[2427525000] ID:10 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000c105ca0656000006c207e80afb000003a2040d00000000004f0227
[2427535000] ID:11 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000cd0617064b0000069e08050b0b0000039b044b0000000000b10230
[2427545000] ID:12 | Stg:1 | Loc:0 | Lic:0 | Data:000000000116062606a20000069a08220b120000039b044b00000000008401f4
[2427555000] ID:13 | Stg:1 | Loc:0 | Lic:0 | Data:00000000018805b3075e000006d308380b0c001d03a103e7000000000000016f
[2427565000] ID:14 | Stg:1 | Loc:0 | Lic:0 | Data:0000001f01f904ed08020000072b080d0ac701d203a703140000000000000142
[2427575000] ID:15 | Stg:1 | Loc:0 | Lic:0 | Data:00000000026b045408960000077108020a97031b03a4027400000000000001af
[2427585000] ID:16 | Stg:1 | Loc:0 | Lic:0 | Data:0000000002a1044808c60000077608090a89035803a0025600000000000001f6
[2427595000] ID:17 | Stg:1 | Loc:0 | Lic:0 | Data:000000000269044108700000077407d00a6b035a03a5023d000000000000022c
[2427605000] ID:18 | Stg:1 | Loc:0 | Lic:0 | Data:00000000020c03dc07f100000797073c0a11041603b901b20000000000000242
[2427615000] ID:19 | Stg:1 | Loc:0 | Lic:0 | Data:00000000020d034b07fb000007d206bd09b6058103d300f50000000000000215
[2427625000] ID:20 | Stg:1 | Loc:0 | Lic:0 | Data:00000000024202e50850000007fe066b098006df03f2006500000000000001f3
[2427635000] ID:21 | Stg:1 | Loc:0 | Lic:0 | Data:00000000025402c2087b0000080f065d097c074e03fe004200000000000001de
[2427645000] ID:22 | Stg:1 | Loc:0 | Lic:0 | Data:00000000024602b0085000000812064d095f073b03f1002700000000000001c5
[2427655000] ID:23 | Stg:1 | Loc:0 | Lic:0 | Data:00000008024402ab08240000080d063c093b071d03e0000b00000000000001ac
[2427665000] ID:24 | Stg:1 | Loc:0 | Lic:0 | Data:001b000002a8021508920000085006eb094306a3037f0000000000000000018d
[2427675000] ID:25 | Stg:1 | Loc:0 | Lic:0 | Data:011500000222015207350000087f064c085906650324000000000000000001b5
[2427685000] ID:26 | Stg:1 | Loc:0 | Lic:0 | Data:03620000010a0000047c006a08f204ba065906b50288000000000000000001ae
[2427695000] ID:27 | Stg:1 | Loc:0 | Lic:0 | Data:0518000000f70000036701da096204280508072101ee000000000000000001ac
[2427705000] ID:28 | Stg:1 | Loc:0 | Lic:0 | Data:058f000000f10000031d02490986040c04ae072d01bd00000000000000000198
[2427715000] ID:29 | Stg:1 | Loc:0 | Lic:0 | Data:05a0000400cc000002eb0253098703eb049c073001bf00000000000000000175
[2427725000] ID:30 | Stg:1 | Loc:0 | Lic:0 | Data:05a6001100b7000002e2026b099303e7049e073901c100000000000000000154
[2427735000] ID:31 | Stg:1 | Loc:0 | Lic:0 | Data:0598003900bc000002ed0253098903e504a5073e01c900000000000000000116
[2427745000] ID:32 | Stg:1 | Loc:0 | Lic:0 | Data:052f00530156000003ad01d6095b045504ee071801cf0000000000000000010f
[2427755000] ID:33 | Stg:1 | Loc:0 | Lic:0 | Data:051f0045009a000002e30196093c03a704de0744021800000000000000000125
[2427765000] ID:34 | Stg:1 | Loc:0 | Lic:0 | Data:0498003200f2000003a1015c0936043f055d06f8021e00000000000000000134
[2427775000] ID:35 | Stg:1 | Loc:0 | Lic:0 | Data:0358002a011300000483006a08f004d4065b0681027900000000000000000136
[2427785000] ID:36 | Stg:1 | Loc:0 | Lic:0 | Data:02980025015f00320526000008bf055706e80603029500000000000000000142
[2427795000] ID:37 | Stg:1 | Loc:0 | Lic:0 | Data:021e002301eb00a305df0000089905e3074205a702900000000000000000015a
[2427805000] ID:38 | Stg:1 | Loc:0 | Lic:0 | Data:0326002a006a000003bb002908cf046e06560616029b00000000000000000129
[2427815000] ID:39 | Stg:1 | Loc:0 | Lic:0 | Data:042d003a00af0000039200ff0917043305a506cb024f00000000000000000120
[2427825000] ID:40 | Stg:1 | Loc:0 | Lic:0 | Data:04b7004e00b30000036f0154093203d4054b078f02510000000000000000010a
[2427835000] ID:41 | Stg:1 | Loc:0 | Lic:0 | Data:048b004401480000041f0156093a0476057d073702210000000000000000011a
[2427845000] ID:42 | Stg:1 | Loc:0 | Lic:0 | Data:055a004500ab000002e001d6095403aa04ba075b01fd00000000000000000128
[2427855000] ID:43 | Stg:1 | Loc:0 | Lic:0 | Data:056f004700e5000002f901f0095b03e004a5071a01d30000000000000000012c
[2427865000] ID:44 | Stg:1 | Loc:0 | Lic:0 | Data:04e7006301130000038301ac094d0459051a06bd01df000000000000000000eb
[2427875000] ID:45 | Stg:1 | Loc:0 | Lic:0 | Data:04d4007600f500000392017b093e041505320746021d000000000000000000d8
[2427885000] ID:46 | Stg:1 | Loc:0 | Lic:0 | Data:04c7008a00ff000003a7014e092c03fa053907820238000000000000000000ca
[2427895000] ID:47 | Stg:1 | Loc:0 | Lic:0 | Data:04e2008b00ea0000036d0162092f03ea0518075b0226000000000000000000c5
[2427905000] ID:48 | Stg:1 | Loc:0 | Lic:0 | Data:0517006f00e50000035101a1094603e504f70762020f000000000000000000e4
[2427915000] ID:49 | Stg:1 | Loc:0 | Lic:0 | Data:0592005200d6000002f50234097803e6049d073201c7000000000000000000f7
[2427925000] ID:50 | Stg:1 | Loc:0 | Lic:0 | Data:05c7005800d1000002d50286099703f9047a070a019f000000000000000000d7
[2427935000] ID:51 | Stg:1 | Loc:0 | Lic:0 | Data:04e0005900bd0000036001ca0961042c053507030204000000000000000000ca
[2427945000] ID:52 | Stg:1 | Loc:0 | Lic:0 | Data:044e003b00cf000003bb0150093b046c05a206be022c000000000000000000fa
[2427955000] ID:53 | Stg:1 | Loc:0 | Lic:0 | Data:04a7003d0078000003550194095303f7056807490243000000000000000000ee
[2427965000] ID:54 | Stg:1 | Loc:0 | Lic:0 | Data:04b3006f006f00000336015d093703b0054e078c025f000000000000000000c0
[2427975000] ID:55 | Stg:1 | Loc:0 | Lic:0 | Data:044d008500f8000003d200e709090421058c07370259000000000000000000c1
[2427985000] ID:56 | Stg:1 | Loc:0 | Lic:0 | Data:0488006700800000034e012a092303c20565076d0268000000000000000000d9
[2427995000] ID:57 | Stg:1 | Loc:0 | Lic:0 | Data:045b002f009200000392013809320408059d074802630000000000000000011c
