[2424605000] ID:0 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000018e0125ff23fc50fc60fc60
[2424615000] ID:1 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000015d00f5ff3bfc40fc50fc50
[2424625000] ID:2 | Stg:1 | Loc:0 | Lic:0 | Data:00000000000000000000000000000000000000000054008dffccfc48fc58fc58
[2424635000] ID:3 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe9b00040095fc48fc58fc58
[2424645000] ID:4 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdda00040145fc48fc58fc58
[2424655000] ID:5 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe1a006401befc48fc58fc58
[2424665000] ID:6 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe4a00ad020efc48fc58fc60
[2424675000] ID:7 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe4201050216fc58fc70fc78
[2424685000] ID:8 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe72014d024efc68fc81fc89
[2424695000] ID:9 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fecb018e0287fc60fc81fc89
[2424705000] ID:10 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff1301ae02a7fc60fc81fc89
[2424715000] ID:11 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff3301ce02b7fc78fc89fc91
[2424725000] ID:12 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fef301ce02bffca9fcb1fcb9
[2424735000] ID:13 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe620196029ffcd9fce9fcf1
[2424745000] ID:14 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdaa012d024efcc1fcd9fce1
[2424755000] ID:15 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd4900e50226fc70fc91fc99
[2424765000] ID:16 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd8200e50236fc58fc78fc81
[2424775000] ID:17 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd9a00b50236fc40fc60fc68
[2424785000] ID:18 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd39004401f6fc30fc50fc58
[2424795000] ID:19 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fca1ffd401befc38fc58fc60
[2424805000] ID:20 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48ff7b01aefc38fc58fc60
[2424815000] ID:21 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60ff6b01b6fc38fc58fc60
[2424825000] ID:22 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58ff5b0196fc48fc68fc70
[2424835000] ID:23 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58ff4b019efc58fc78fc81
[2424845000] ID:24 | Stg:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68ff3b018efc60fc91fc89
