[3239045000] ID:0 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000322062c00000000000000000000000000000000040c010f
[3239055000] ID:1 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000322062c00000000000000000000000000000000040c010f
[3239065000] ID:2 | Stg:6 | Loc:0 | Lic:0 | Data:0000034f0000000001a202df0000000000000628005002ac00000000013e046d
[3239075000] ID:3 | Stg:6 | Loc:0 | Lic:0 | Data:0000034f0000000001a202df0000000000000628005002ac00000000013e046d
[3239085000] ID:4 | Stg:6 | Loc:0 | Lic:0 | Data:000002a000000000000003f9000000000059087c000003b3000001f0000004e0
[3239095000] ID:5 | Stg:6 | Loc:0 | Lic:0 | Data:000002a000000000000003f9000000000059087c000003b3000001f0000004e0
[3239105000] ID:6 | Stg:6 | Loc:0 | Lic:0 | Data:000001d60000000000b105ca0000000000000712003e02e2000002330000041f
[3239115000] ID:7 | Stg:6 | Loc:0 | Lic:0 | Data:000001d60000000000b105ca0000000000000712003e02e2000002330000041f
[3239125000] ID:8 | Stg:6 | Loc:0 | Lic:0 | Data:00000219000000000000057b00000000000006c3009c0286000002bf000003a8
[3239135000] ID:9 | Stg:6 | Loc:0 | Lic:0 | Data:00000219000000000000057b00000000000006c3009c0286000002bf000003a8
[3239145000] ID:10 | Stg:6 | Loc:0 | Lic:0 | Data:0000009400000000017a045b0000000000000439000004ba000005620000020c
[3239155000] ID:11 | Stg:6 | Loc:0 | Lic:0 | Data:0000009400000000017a045b0000000000000439000004ba000005620000020c
[3239165000] ID:12 | Stg:6 | Loc:0 | Lic:0 | Data:010c000000000000000000000000000000000000000003150000043300130000
[3239175000] ID:13 | Stg:6 | Loc:0 | Lic:0 | Data:010c000000000000000000000000000000000000000003150000043300130000
[3239185000] ID:14 | Stg:6 | Loc:0 | Lic:0 | Data:01bf006f000000000254000000000000000000000000023f0000000002100000
[3239195000] ID:15 | Stg:6 | Loc:0 | Lic:0 | Data:01bf006f000000000254000000000000000000000000023f0000000002100000
[3239225000] ID:16 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000322062c00000000000000000000000000000000040c010f
[3239235000] ID:17 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000322062c00000000000000000000000000000000040c010f
[3239245000] ID:18 | Stg:6 | Loc:0 | Lic:0 | Data:0000034f0000000001a202df0000000000000628005002ac00000000013e046d
[3239255000] ID:19 | Stg:6 | Loc:0 | Lic:0 | Data:0000034f0000000001a202df0000000000000628005002ac00000000013e046d
[3239265000] ID:20 | Stg:6 | Loc:0 | Lic:0 | Data:000002a000000000000003f9000000000059087c000003b3000001f0000004e0
[3239275000] ID:21 | Stg:6 | Loc:0 | Lic:0 | Data:000002a000000000000003f9000000000059087c000003b3000001f0000004e0
[3239285000] ID:22 | Stg:6 | Loc:0 | Lic:0 | Data:000001d60000000000b105ca0000000000000712003e02e2000002330000041f
[3239295000] ID:23 | Stg:6 | Loc:0 | Lic:0 | Data:000001d60000000000b105ca0000000000000712003e02e2000002330000041f
[3239305000] ID:24 | Stg:6 | Loc:0 | Lic:0 | Data:00000219000000000000057b00000000000006c3009c0286000002bf000003a8
[3239315000] ID:25 | Stg:6 | Loc:0 | Lic:0 | Data:00000219000000000000057b00000000000006c3009c0286000002bf000003a8
[3239325000] ID:26 | Stg:6 | Loc:0 | Lic:0 | Data:0000009400000000017a045b0000000000000439000004ba000005620000020c
[3239335000] ID:27 | Stg:6 | Loc:0 | Lic:0 | Data:0000009400000000017a045b0000000000000439000004ba000005620000020c
[3239345000] ID:28 | Stg:6 | Loc:0 | Lic:0 | Data:010c000000000000000000000000000000000000000003150000043300130000
[3239355000] ID:29 | Stg:6 | Loc:0 | Lic:0 | Data:010c000000000000000000000000000000000000000003150000043300130000
[3239365000] ID:30 | Stg:6 | Loc:0 | Lic:0 | Data:01bf006f000000000254000000000000000000000000023f0000000002100000
[3239375000] ID:31 | Stg:6 | Loc:0 | Lic:0 | Data:01bf006f000000000254000000000000000000000000023f0000000002100000
[3239405000] ID:32 | Stg:6 | Loc:0 | Lic:0 | Data:000005a80000000003b4089700000000000009e8000000c2000000000000015c
[3239415000] ID:33 | Stg:6 | Loc:0 | Lic:0 | Data:000005a80000000003b4089700000000000009e8000000c2000000000000015c
[3239425000] ID:34 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000005b00000000000008e6000000610000044400000000
[3239435000] ID:35 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000005b00000000000008e6000000610000044400000000
[3239445000] ID:36 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000017800000000000007dc00000000000000d300290000
[3239455000] ID:37 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000017800000000000007dc00000000000000d300290000
[3239465000] ID:38 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018b00000000000007ce00000000000001a000480000
[3239475000] ID:39 | Stg:6 | Loc:0 | Lic:0 | Data:00000000000000000000018b00000000000007ce00000000000001a000480000
[3239485000] ID:40 | Stg:6 | Loc:0 | Lic:0 | Data:0000000000000000000001a4000000000000080f000000000000019d00260000
