[4056835000] ID:0 | Data:fc57fc56fc50fc5f
[4056845000] ID:1 | Data:fc78fc5ffc58fc57
[4056855000] ID:2 | Data:fc91fc89fc89fc88
[4056865000] ID:3 | Data:fc99fce1fcf1fcb8
[4056875000] ID:4 | Data:fc60fc58fc68fc81
[4056885000] ID:5 | Data:fc80fc70fc5ffc5f
[4056895000] ID:6 | Data:fc80fc81fc6ffc8a
[4056905000] ID:7 | Data:fcc1fca8fc98fc88
[4056915000] ID:8 | Data:fcb1fca8fca9fcb8
[4056925000] ID:9 | Data:fcd8fcd1fcb1fcb1
[4056935000] ID:10 | Data:fce8fcf1fce8fce1
[4056945000] ID:11 | Data:fd00fcf8fcf0fcf9
[4056955000] ID:12 | Data:fcf1fcf8fce8fcf0
[4056965000] ID:13 | Data:fd38fd30fd01fce9
[4056975000] ID:14 | Data:fd39fd28fd19fd29
[4056985000] ID:15 | Data:fd19fd09fd18fd38
[4056995000] ID:16 | Data:fd20fd28fd41fd30
[4057005000] ID:17 | Data:fd39fd30fd28fd28
[4057015000] ID:18 | Data:fda2fde1fd59fd39
[4057025000] ID:19 | Data:fd39fd11fd38fd82
[4057035000] ID:20 | Data:fd28fd30fd31fd39
[4057045000] ID:21 | Data:fd21fd31fd31fd29
[4057055000] ID:22 | Data:fcb1fc98fc98fcf9
[4057065000] ID:23 | Data:fce8fcf0fcd9fcc1
[4057075000] ID:24 | Data:fcc8fcd0fcd8fce0
[4057085000] ID:25 | Data:fcb8fcb8fcc0fcc0
[4057095000] ID:26 | Data:fcc8fcc0fcb0fcb0
[4057105000] ID:27 | Data:fce0fcc8fca8fcc0
[4057115000] ID:28 | Data:fdd1fd18fcf8fce8
[4057125000] ID:29 | Data:0255023501f600b5
[4057135000] ID:30 | Data:027502760275026d
[4057145000] ID:31 | Data:029d0287026d0275
[4057155000] ID:32 | Data:fca0fca0fc99fca0
[4057165000] ID:33 | Data:fcf1fcd1fcb9fca8
[4057175000] ID:34 | Data:fd59fd39fd21fd01
[4057185000] ID:35 | Data:fcf1fcf9fd29fd59
[4057195000] ID:36 | Data:fcd8fcf9fd18fd11
[4057205000] ID:37 | Data:fca8fca1fca0fca9
[4057215000] ID:38 | Data:fcbffcc7fcb7fca9
[4057225000] ID:39 | Data:fca0fca7fcb7fcbf
[4057235000] ID:40 | Data:fca0fc98fc98fc9f
[4057245000] ID:41 | Data:fcd0fcd0fcc0fcb1
[4057255000] ID:42 | Data:fce7fd17fd20fcf8
[4057265000] ID:43 | Data:fcb8fca0fc98fcc0
[4057275000] ID:44 | Data:fcf0fcdffd00fcf0
[4057285000] ID:45 | Data:fd48fd58fd20fcf0
[4057295000] ID:46 | Data:fda9fdc1fd89fd48
[4057305000] ID:47 | Data:fd60fd68fd70fd70
[4057315000] ID:48 | Data:fd10fd38fd40fd48
[4057325000] ID:49 | Data:fd08fcf0fd00fd11
[4057335000] ID:50 | Data:fdb2fda9fd79fd20
[4057345000] ID:51 | Data:fd20fd10fd40fd82
[4057355000] ID:52 | Data:fcf8fd29fd28fd11
[4057365000] ID:53 | Data:fcc0fce0fce0fcd0
[4057375000] ID:54 | Data:fcb1fc98fc80fca0
[4057385000] ID:55 | Data:fcc9fcc9fcbafcb0
[4057395000] ID:56 | Data:fcb1fcb9fcc9fcd1
[4057405000] ID:57 | Data:fcb1fcc1fcc9fcb1
[4057415000] ID:58 | Data:fcc9fcb9fca1fca1
[4057425000] ID:59 | Data:fd01fce9fcc1fcc9
[4057435000] ID:60 | Data:fde2fd21fd19fd21
[4057445000] ID:61 | Data:0256022e01f700ce
[4057455000] ID:62 | Data:027e02770276026e
[4057465000] ID:63 | Data:02960277026e027e
[4057495000] ID:64 | Data:fd38fd31fd39fd39
[4057505000] ID:65 | Data:fd30fd38fd39fd40
[4057515000] ID:66 | Data:fde1fdd1fd70fd38
[4057525000] ID:67 | Data:fd99fd38fd68fdb1
[4057535000] ID:68 | Data:fde9fdf1fdd1fdd1
[4057545000] ID:69 | Data:fdc9fdbafdb1fdb1
[4057555000] ID:70 | Data:fdd2fdf1fdf0fde2
[4057565000] ID:71 | Data:fdbafdc2fdc9fdc9
[4057575000] ID:72 | Data:fd59fda2fdb2fdaa
[4057585000] ID:73 | Data:fcf1fce9fd09fd29
[4057595000] ID:74 | Data:fd41fd31fd10fd09
[4057605000] ID:75 | Data:fd51fd09fd01fd31
[4057615000] ID:76 | Data:fe32fe4afe2afdd2
[4057625000] ID:77 | Data:fd82fd82fdb2fdf1
[4057635000] ID:78 | Data:fe6afe42fdfafdb2
[4057645000] ID:79 | Data:fe3afe31fe12fe62
[4057655000] ID:80 | Data:fdc2fdbafdbafdd2
[4057665000] ID:81 | Data:fd92fd70fd92fdba
[4057675000] ID:82 | Data:fdd2fd9afd9afd8a
[4057685000] ID:83 | Data:fd91fdbafdd9fdba
[4057695000] ID:84 | Data:fd59fdb2fdcafdca
[4057705000] ID:85 | Data:fcb9fd09fd20fd21
[4057715000] ID:86 | Data:fcb1fcb0fc98fc77
[4057725000] ID:87 | Data:fca8fcb9fcd0fcc0
[4057735000] ID:88 | Data:fc77fc88fc98fcb0
[4057745000] ID:89 | Data:fc80fc88fc80fc80
[4057755000] ID:90 | Data:fcb8fcb0fc88fc80
[4057765000] ID:91 | Data:fd20fcf8fcb8fcb8
[4057775000] ID:92 | Data:fe59fd40fd58fd50
[4057785000] ID:93 | Data:024d022d01f50114
[4057795000] ID:94 | Data:027d0275026d026d
[4057805000] ID:95 | Data:026d0266026d027d
[4057815000] ID:96 | Data:fd30fd28fd31fd30
[4057825000] ID:97 | Data:fcf8fd08fd08fd28
[4057835000] ID:98 | Data:fd80fd37fd10fcf8
[4057845000] ID:99 | Data:fdd8fd48fd60fd99
[4057855000] ID:100 | Data:fe01fddafdd1fdf1
[4057865000] ID:101 | Data:fdd9fdd2fde1fdea
[4057875000] ID:102 | Data:fdf1fe09fe09fdf9
[4057885000] ID:103 | Data:fd69fd99fda9fdc9
[4057895000] ID:104 | Data:fdc9fd99fd60fd48
[4057905000] ID:105 | Data:fd28fd50fda1fdd1
[4057915000] ID:106 | Data:fd10fd18fcf9fd21
[4057925000] ID:107 | Data:fdf9fda9fd50fd29
[4057935000] ID:108 | Data:ff1aff0bfecbfe52
[4057945000] ID:109 | Data:fe72fee3ff22ff4a
[4057955000] ID:110 | Data:fe71fe49fe62fe42
[4057965000] ID:111 | Data:fe8bfea3fe93feb3
[4057975000] ID:112 | Data:fde2fe12fe3afe62
[4057985000] ID:113 | Data:fda2fd9afdbafdca
[4057995000] ID:114 | Data:fdc1fd91fd82fdca
[4058005000] ID:115 | Data:fdf9fdf1fdd1fdca
